shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service,category
(1404-12),0.0,538.2096934636012,350.0127348722133,723.7344421729501,اصلاح صورت و ابرو بانوان,زیبایی بانوان
(1401-01),159.0,221.86736666668145,90.48742529131766,352.90382115202067,امداد خودرو,خدمات و تعمیرات خودرو
(1401-02),200.0,203.0656873276948,70.26575381391378,334.4085813865023,امداد خودرو,خدمات و تعمیرات خودرو
(1401-03),250.0,244.2312937146856,111.61300622928266,375.7370879004921,امداد خودرو,خدمات و تعمیرات خودرو
(1401-04),367.0,333.1200995393132,200.5092215987352,465.38350530268485,امداد خودرو,خدمات و تعمیرات خودرو
(1401-05),399.0,356.11438331842646,223.28664371037704,486.9781251598753,امداد خودرو,خدمات و تعمیرات خودرو
(1401-06),305.0,293.53704240055754,162.75642629711894,425.9290576304088,امداد خودرو,خدمات و تعمیرات خودرو
(1401-07),197.0,218.37584487707744,91.29570601731442,344.8696409670122,امداد خودرو,خدمات و تعمیرات خودرو
(1401-08),197.0,197.2351099281942,69.07452764660866,324.62743838710907,امداد خودرو,خدمات و تعمیرات خودرو
(1401-09),199.0,201.40826423277647,73.96736899286451,326.8283537277221,امداد خودرو,خدمات و تعمیرات خودرو
(1401-10),287.0,216.03483751933507,89.41690105936318,344.299112887396,امداد خودرو,خدمات و تعمیرات خودرو
(1401-11),245.0,212.91879867853973,85.4273744354287,339.93671626557534,امداد خودرو,خدمات و تعمیرات خودرو
(1401-12),187.0,213.42117965204704,91.5025376763408,338.1912351762033,امداد خودرو,خدمات و تعمیرات خودرو
(1402-01),202.0,168.10337666349517,37.56177203825395,300.17304110419525,امداد خودرو,خدمات و تعمیرات خودرو
(1402-02),114.0,138.66814612871764,12.228567268370712,266.7239323225504,امداد خودرو,خدمات و تعمیرات خودرو
(1402-03),152.0,166.10639656386994,43.43334924884701,289.9578488827064,امداد خودرو,خدمات و تعمیرات خودرو
(1402-04),243.0,263.4152820678142,131.03871437356628,394.4028839200376,امداد خودرو,خدمات و تعمیرات خودرو
(1402-05),232.0,282.70180869039905,150.81165113403983,415.1244186264005,امداد خودرو,خدمات و تعمیرات خودرو
(1402-06),198.0,222.56406009708,90.40421686982464,353.9693895320306,امداد خودرو,خدمات و تعمیرات خودرو
(1402-07),151.0,149.95289754987374,20.80044119439174,274.4952267745364,امداد خودرو,خدمات و تعمیرات خودرو
(1402-08),140.0,134.56711135668385,7.690032829880521,262.5322636604856,امداد خودرو,خدمات و تعمیرات خودرو
(1402-09),133.0,140.05897294532318,15.670118909870324,262.89475074072294,امداد خودرو,خدمات و تعمیرات خودرو
(1402-10),143.0,159.87193546702954,35.53535287789801,281.6338420275108,امداد خودرو,خدمات و تعمیرات خودرو
(1402-11),147.0,167.49608831802254,41.08469821340965,295.0326379216606,امداد خودرو,خدمات و تعمیرات خودرو
(1402-12),174.0,169.71628303835797,51.69698416340084,288.627703407017,امداد خودرو,خدمات و تعمیرات خودرو
(1403-01),145.0,133.11907765569828,5.658421225230303,261.0684130925633,امداد خودرو,خدمات و تعمیرات خودرو
(1403-02),141.0,114.32707764346426,-16.573019904959114,247.4920998861741,امداد خودرو,خدمات و تعمیرات خودرو
(1403-03),166.0,152.67179278259783,24.20892152573628,279.1057493536409,امداد خودرو,خدمات و تعمیرات خودرو
(1403-04),237.0,248.55501599839752,117.15711856751024,379.43919694702015,امداد خودرو,خدمات و تعمیرات خودرو
(1403-05),263.0,274.7095990721514,143.01030426623186,406.198694147902,امداد خودرو,خدمات و تعمیرات خودرو
(1403-06),241.0,220.01715888121396,88.46686005905177,352.1752084215542,امداد خودرو,خدمات و تعمیرات خودرو
(1403-07),176.0,148.50144598942052,21.607764913577157,274.39440945289124,امداد خودرو,خدمات و تعمیرات خودرو
(1403-08),138.0,134.2994735999672,7.307745422014009,261.13452102142514,امداد خودرو,خدمات و تعمیرات خودرو
(1403-09),121.0,137.73577234270434,17.82031876263798,255.82421079063127,امداد خودرو,خدمات و تعمیرات خودرو
(1403-10),134.0,164.10836625772797,33.80764120549923,291.4838277154,امداد خودرو,خدمات و تعمیرات خودرو
(1403-11),149.0,167.62675822628628,42.366794054821895,294.84014335502354,امداد خودرو,خدمات و تعمیرات خودرو
(1403-12),222.0,181.92617920708236,55.12216227856418,307.3560886231347,امداد خودرو,خدمات و تعمیرات خودرو
(1404-01),0.0,135.62701558238066,4.866856048152489,265.0387168746482,امداد خودرو,خدمات و تعمیرات خودرو
(1404-02),0.0,113.70135620820452,-16.497437293542124,245.522621422348,امداد خودرو,خدمات و تعمیرات خودرو
(1404-03),0.0,162.11200176098183,30.820179712517604,294.0063182148092,امداد خودرو,خدمات و تعمیرات خودرو
(1404-04),0.0,248.4490410281269,117.30133214186068,379.4893919195957,امداد خودرو,خدمات و تعمیرات خودرو
(1404-05),0.0,275.6493302714858,144.28769313827274,407.3949517606272,امداد خودرو,خدمات و تعمیرات خودرو
(1404-06),0.0,217.8740625461329,86.03928806490771,349.06713567095073,امداد خودرو,خدمات و تعمیرات خودرو
(1404-07),0.0,147.28922366435754,19.81660759374479,273.35608879961694,امداد خودرو,خدمات و تعمیرات خودرو
(1404-08),0.0,136.23105901685054,9.110838976231394,262.15126648221946,امداد خودرو,خدمات و تعمیرات خودرو
(1404-09),0.0,146.35791568729306,18.482783962476823,274.46833809844435,امداد خودرو,خدمات و تعمیرات خودرو
(1404-10),0.0,164.14498611142,35.04107263815197,292.7907821117798,امداد خودرو,خدمات و تعمیرات خودرو
(1404-11),0.0,168.19206571423126,39.97399215544374,295.65776566233944,امداد خودرو,خدمات و تعمیرات خودرو
(1404-12),0.0,178.02256397755744,55.218928908116425,303.1479226548093,امداد خودرو,خدمات و تعمیرات خودرو
(1401-01),199.0,209.6469840391624,106.16585102648656,313.543237445292,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-02),258.0,226.31909332745468,123.98034638488748,328.8727428611889,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-03),236.0,226.32593135055112,124.2912825254166,330.79150071663065,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-04),202.0,226.56517280890543,122.6986158926794,328.3814470571346,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-05),249.0,228.410084135471,124.89515489598662,333.3592558614576,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-06),175.0,178.82115140160897,75.22026924513163,282.5046255064577,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-07),149.0,158.39702256989506,58.73637886448326,257.29058969205346,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-08),147.0,150.0130460962617,49.15630451497075,248.1501581721512,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-09),117.0,140.54658655222187,48.12639980923705,233.97801011198595,اپیلاسیون بانوان در خانه,زیبایی بانوان
(1401-10),136.0,138.8249093673655,41.6989579657078,234.3007106590108,اپیلاسیون بانوان در خانه,زیبایی بانوان
