shamsi_year_month,y,yhat,yhat_lower,yhat_upper,category
(1403-03),611.0,477.4398883938601,244.41394489878024,709.1968306220477,تعمیرات موبایل
(1403-04),680.0,547.706931575448,316.01894008472357,778.1300731977332,تعمیرات موبایل
(1403-05),689.0,616.3797540733386,386.27705498852185,848.5526348542456,تعمیرات موبایل
(1403-06),605.0,543.4765854489343,314.4713632404522,775.1520543780252,تعمیرات موبایل
(1403-07),562.0,463.9889320929892,240.21738375227565,688.0161257717685,تعمیرات موبایل
(1403-08),533.0,535.4326523334461,310.65849003363684,758.113463037952,تعمیرات موبایل
(1403-09),513.0,504.84649295792593,281.16777427589204,732.5012071425389,تعمیرات موبایل
(1403-10),546.0,598.006092893062,374.28614566435397,822.7322442650491,تعمیرات موبایل
(1403-11),594.0,509.6139409551126,284.5531076103824,731.1383877536293,تعمیرات موبایل
(1403-12),556.0,536.9856240723503,310.7744899628285,759.6678074909177,تعمیرات موبایل
(1404-01),574.0,600.634646219372,367.37198374090093,834.4228797205939,تعمیرات موبایل
(1404-02),586.0,550.117511510952,317.46867289263355,780.6591924195008,تعمیرات موبایل
(1404-03),439.0,498.2246630772535,265.94112218845925,726.4626446788412,تعمیرات موبایل
(1404-04),569.0,573.3346998297878,343.7405334073276,806.5513023286915,تعمیرات موبایل
(1404-05),613.0,633.4955037435923,402.948703464681,867.0868200538654,تعمیرات موبایل
(1404-06),550.0,568.080897659017,337.6902183262146,799.6851673046261,تعمیرات موبایل
(1404-07),535.0,484.6713885046391,259.41365837544635,707.2781657912227,تعمیرات موبایل
(1404-08),556.0,552.8174685997652,328.30583102110035,777.5983081186774,تعمیرات موبایل
(1404-09),0.0,534.1196996780593,303.4659680143443,757.099410802754,تعمیرات موبایل
(1404-10),0.0,617.0320117677503,389.4220481880575,840.6175614694763,تعمیرات موبایل
(1404-11),0.0,528.0651768084759,302.7499852802636,755.5503548848114,تعمیرات موبایل
(1404-12),0.0,538.389400579532,321.47218055929676,756.2528212540024,تعمیرات موبایل
(1405-01),0.0,626.1627293486835,393.2447801260492,857.1524325171548,تعمیرات موبایل
(1405-02),0.0,570.1503362464958,338.89734635036007,798.9717034484088,تعمیرات موبایل
(1405-03),0.0,522.0786618725023,290.9472089727151,753.0367540928665,تعمیرات موبایل
(1405-04),0.0,593.8215745953165,360.97122729221184,826.4441413788102,تعمیرات موبایل
(1405-05),0.0,657.7038681478618,428.1854167472183,891.2542044015163,تعمیرات موبایل
(1405-06),0.0,588.8614308958626,351.9396792962492,816.9447465501324,تعمیرات موبایل
(1401-01),42.0,54.41852967823828,12.321316911446408,97.09903724771043,تندرستی و ورزش
(1401-02),60.0,63.238282024523635,15.253317934330253,111.22579512779183,تندرستی و ورزش
(1401-03),73.0,67.1906220852478,17.385554390026,117.07399169662747,تندرستی و ورزش
(1401-04),58.0,62.677870104789086,10.987828007865298,114.3998285723451,تندرستی و ورزش
(1401-05),54.0,63.188313511004374,18.37717023765793,107.72624902643084,تندرستی و ورزش
(1401-06),63.0,57.55998612725278,13.749346673505443,102.09707372502906,تندرستی و ورزش
(1401-07),68.0,74.97030616452633,26.991418785919887,123.07338914431766,تندرستی و ورزش
(1401-08),64.0,78.36470524651814,27.24389861692807,129.8747047851512,تندرستی و ورزش
(1401-09),67.0,83.42266215637027,29.874496479240864,137.25494398039936,تندرستی و ورزش
(1401-10),70.0,59.02784608807916,10.972574466632791,107.30571905156502,تندرستی و ورزش
(1401-11),58.0,67.39830477677519,15.986858017843074,118.69726811420672,تندرستی و ورزش
(1401-12),47.0,52.68361675908737,10.47262736187757,95.23255623681172,تندرستی و ورزش
(1402-01),70.0,60.626769170254256,10.674312316886477,110.52285080047982,تندرستی و ورزش
(1402-02),73.0,67.07805965636044,13.410910351233179,120.10707026725815,تندرستی و ورزش
(1402-03),50.0,59.386408315393815,12.878945886576188,105.51591257602564,تندرستی و ورزش
(1402-04),55.0,48.206975532569366,5.035151908573446,90.9992074164402,تندرستی و ورزش
(1402-05),74.0,70.8425051362467,19.2431242091763,123.11702760364669,تندرستی و ورزش
(1402-06),73.0,61.309016658350245,13.669420662733815,109.54381574264781,تندرستی و ورزش
(1402-07),86.0,81.0944907591564,27.114903708108155,134.8974576471589,تندرستی و ورزش
(1402-08),73.0,70.64183397627559,22.344282407747265,119.3110706948692,تندرستی و ورزش
(1402-09),89.0,73.1491917387372,25.05122931097286,121.91592751361478,تندرستی و ورزش
(1402-10),50.0,49.90194973750347,7.515931672481258,93.02576419753849,تندرستی و ورزش
(1402-11),72.0,66.81312730143371,13.269324343105882,120.4383114780524,تندرستی و ورزش
