shamsi_year_month,y,yhat,yhat_lower,yhat_upper,service
(1402-03),34.0,38.0304865121205,9.87039367502766,65.9422802780949,اکستنشن مو بانوان در خانه
(1402-04),42.0,41.90629070615988,13.604660228935277,70.3729229814274,اکستنشن مو بانوان در خانه
(1402-05),37.0,41.11473163930044,10.498798896184335,71.77474541439257,اکستنشن مو بانوان در خانه
(1402-06),42.0,37.509089482865974,7.762046466671683,67.10941672952723,اکستنشن مو بانوان در خانه
(1402-07),32.0,33.98452078029831,4.164936489569812,63.232369724256095,اکستنشن مو بانوان در خانه
(1402-08),32.0,32.99660853964576,6.548117983411502,59.634339974537966,اکستنشن مو بانوان در خانه
(1402-09),34.0,30.19350064069304,6.619236904773345,54.35642584745749,اکستنشن مو بانوان در خانه
(1402-10),31.0,38.228036123365634,9.979716538262728,66.15526543815913,اکستنشن مو بانوان در خانه
(1402-11),37.0,39.81913946537529,11.947862348678452,67.97010539511328,اکستنشن مو بانوان در خانه
(1402-12),61.0,55.2054987060004,25.93545442786934,84.43198038316187,اکستنشن مو بانوان در خانه
(1403-01),38.0,43.0299848622744,10.317514475598797,75.47282694665901,اکستنشن مو بانوان در خانه
(1403-02),58.0,48.05810770241878,8.73479223569796,87.82054241357666,اکستنشن مو بانوان در خانه
(1403-03),42.0,45.75108579810684,11.494382717078517,79.62760552742645,اکستنشن مو بانوان در خانه
(1403-04),47.0,42.509000959898216,12.918762941426996,72.15371491996248,اکستنشن مو بانوان در خانه
(1403-05),39.0,40.8508697737006,8.525159100353507,73.37391710259378,اکستنشن مو بانوان در خانه
(1403-06),29.0,31.244998136369308,4.144186418395935,57.875353416852505,اکستنشن مو بانوان در خانه
(1403-07),38.0,33.22019532901268,1.8398210347812773,64.03070570632329,اکستنشن مو بانوان در خانه
(1403-08),25.0,22.724285984428295,1.3524913881330103,44.13319279723687,اکستنشن مو بانوان در خانه
(1403-09),32.0,27.055755534760763,3.0354296488153656,50.87969986933124,اکستنشن مو بانوان در خانه
(1403-10),40.0,39.94750292058552,6.82160866813669,73.61850596020065,اکستنشن مو بانوان در خانه
(1403-11),42.0,40.55842867682136,6.807391516496072,74.29295870341286,اکستنشن مو بانوان در خانه
(1403-12),47.0,54.07177131931573,20.614879710497856,87.94408391740515,اکستنشن مو بانوان در خانه
(1404-01),0.0,48.209718570214285,4.272590525618986,91.85360757211957,اکستنشن مو بانوان در خانه
(1404-02),0.0,43.539955370956584,0.013290779700992017,87.33701568996675,اکستنشن مو بانوان در خانه
(1404-03),0.0,47.36191174335854,4.194807737105119,91.45101549745203,اکستنشن مو بانوان در خانه
(1404-04),0.0,50.33349460362353,6.700928960540531,93.95096377544674,اکستنشن مو بانوان در خانه
(1404-05),0.0,43.452948116416124,-0.3990063157303259,87.29854607588845,اکستنشن مو بانوان در خانه
(1404-06),0.0,40.80870809719101,-3.0095879826385654,84.57215706252592,اکستنشن مو بانوان در خانه
(1404-07),0.0,35.26693464345943,-6.9285479215224965,77.54155934014167,اکستنشن مو بانوان در خانه
